districts
BAGALKOT
BENGALURU URBAN
BENGALURU RURAL
BELAGAVI
BALLARI
BIDAR
VIJAYAPUR
CHAMARAJANAGAR
CHIKBALLAPUR
CHIKKAMAGALURU
CHITRADURGA
DAKSHINA KANNADA
DAVANAGERE
DHARWAD
GADAG
KALABURAGI
HASSAN
HAVERI
KODAGU
KOLAR
KOPPAL
MANDYA
MYSURU
RAICHUR
RAMANAGARA
SHIVAMOGGA
TUMAKURU
UDUPI
UTTARA KANNADA
YADGIR
